Rank,Name,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,SFA,32,27-5,2583,80.7,2021,63.2,17.6
2,Michigan St.,34,29-5,2712,79.8,2155,63.4,16.4
3,Wichita St.,32,24-8,2343,73.2,1896,59.3,14
4,Saint Mary's (CA),32,27-5,2397,74.9,1951,61,13.9
5,SMU,30,25-5,2319,77.3,1903,63.4,13.9
6,Louisville,31,23-8,2324,75,1895,61.1,13.8
7,Kansas,34,30-4,2773,81.6,2303,67.7,13.8
8,Valparaiso,32,26-6,2425,75.8,1991,62.2,13.6
9,Gonzaga,33,26-7,2630,79.7,2186,66.2,13.5
10,Indiana,32,25-7,2633,82.3,2205,68.9,13.4
11,Stony Brook,32,26-6,2458,76.8,2030,63.4,13.4
12,Villanova,34,29-5,2617,77,2166,63.7,13.3
13,Purdue,34,26-8,2643,77.7,2196,64.6,13.1
14,North Carolina,34,28-6,2797,82.3,2363,69.5,12.8
15,West Virginia,34,26-8,2693,79.2,2265,66.6,12.6
16,Arizona,33,25-8,2680,81.2,2277,69,12.2
17,Yale,28,22-6,2105,75.2,1768,63.1,12
18,Kentucky,34,26-8,2709,79.7,2321,68.3,11.4
19,BYU,33,23-10,2758,83.6,2382,72.2,11.4
20,Little Rock,33,29-4,2341,70.9,1968,59.6,11.3
21,Hawaii,32,27-5,2483,77.6,2128,66.5,11.1
22,Princeton,28,22-6,2213,79,1903,68,11.1
23,Virginia,33,26-7,2322,70.4,1969,59.7,10.7
24,Texas A&M,34,26-8,2581,75.9,2228,65.5,10.4
25,UConn,34,24-10,2496,73.4,2145,63.1,10.3
26,Xavier,32,27-5,2603,81.3,2273,71,10.3
27,Cincinnati,32,22-10,2342,73.2,2012,62.9,10.3
28,UT Arlington,33,23-10,2627,79.6,2295,69.5,10.1
29,Oklahoma,32,25-7,2573,80.4,2254,70.4,10
30,Albany (NY),32,24-8,2405,75.2,2086,65.2,10
31,VCU,34,24-10,2625,77.2,2288,67.3,9.9
32,Weber St.,34,26-8,2609,76.7,2273,66.9,9.9
33,CSU Bakersfield,32,24-8,2337,73,2022,63.2,9.8
34,Maryland,33,25-8,2510,76.1,2187,66.3,9.8
35,Oregon,34,28-6,2680,78.8,2350,69.1,9.7
36,Butler,31,21-10,2498,80.6,2206,71.2,9.4
37,UAB,32,26-6,2527,79,2226,69.6,9.4
38,Vanderbilt,32,19-13,2456,76.8,2155,67.3,9.4
39,Duke,33,23-10,2688,81.5,2378,72.1,9.4
40,Iowa,31,21-10,2421,78.1,2130,68.7,9.4
41,Chattanooga,34,29-5,2578,75.8,2265,66.6,9.2
42,Akron,34,26-8,2619,77,2309,67.9,9.1
43,Houston,31,22-9,2414,77.9,2135,68.9,9
44,Evansville,34,25-9,2526,74.3,2221,65.3,9
45,Miami (FL),32,25-7,2420,75.6,2138,66.8,8.8
46,New Mexico St.,33,23-10,2368,71.8,2087,63.2,8.5
47,South Dakota St.,32,25-7,2450,76.6,2178,68.1,8.5
48,Utah,34,26-8,2639,77.6,2351,69.1,8.5
49,UNC Asheville,33,22-11,2496,75.6,2227,67.5,8.2
50,Pittsburgh,32,21-11,2433,76,2173,67.9,8.1
51,California,33,23-10,2479,75.1,2212,67,8.1
52,Baylor,33,22-11,2546,77.2,2285,69.2,7.9
53,San Diego St.,34,25-9,2315,68.1,2049,60.3,7.8
54,UNCW,32,25-7,2535,79.2,2286,71.4,7.8
55,Monmouth,34,27-7,2700,79.4,2437,71.7,7.7
56,Saint Joseph's,34,27-7,2638,77.6,2377,69.9,7.7
57,High Point,31,21-10,2407,77.6,2170,70,7.6
58,Oakland,32,21-11,2762,86.3,2525,78.9,7.4
59,Coastal Caro.,29,18-11,2167,74.7,1953,67.3,7.4
60,Dayton,32,25-7,2342,73.2,2106,65.8,7.4
61,Louisiana Tech,32,23-9,2541,79.4,2307,72.1,7.3
62,Boise St.,32,20-12,2480,77.5,2246,70.2,7.3
63,Seton Hall,33,25-8,2470,74.8,2237,67.8,7.1
64,Columbia,31,21-10,2362,76.2,2146,69.2,7
65,South Carolina,32,24-8,2429,75.9,2208,69,6.9
66,Milwaukee,33,20-13,2618,79.3,2391,72.5,6.9
67,Iowa St.,32,21-11,2619,81.8,2399,75,6.9
68,Michigan,34,22-12,2526,74.3,2294,67.5,6.8
69,Old Dominion,35,22-13,2397,68.5,2164,61.8,6.7
70,Creighton,32,18-14,2546,79.6,2337,73,6.5
71,Wagner,32,22-10,2256,70.5,2047,64,6.5
72,FGCU,33,20-13,2540,77,2325,70.5,6.5
73,George Washington,33,23-10,2483,75.2,2268,68.7,6.5
74,James Madison,32,21-11,2405,75.2,2197,68.7,6.5
75,Louisiana,31,17-14,2464,79.5,2265,73.1,6.4
76,Winthrop,32,23-9,2631,82.2,2429,75.9,6.3
77,Memphis,34,19-15,2603,76.6,2390,70.3,6.3
78,Toledo,32,17-15,2482,77.6,2286,71.4,6.1
79,Southern California,33,21-12,2668,80.8,2467,74.8,6.1
80,Northwestern,32,20-12,2304,72,2111,66,6
81,Iona,32,22-10,2547,79.6,2357,73.7,5.9
82,William & Mary,31,20-11,2384,76.9,2205,71.1,5.8
83,North Florida,33,22-11,2797,84.8,2607,79,5.8
